n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,mean_acc,std_acc
800,5,0.01,0.8,0.9,5,0.0,0.6957259158751695,0.023866555377992114
800,6,0.05,0.7,0.9,5,0.1,0.6956882255389717,0.019779204712896473
200,4,0.05,0.6,0.8,1,0.5,0.6944821347806421,0.013846467222832788
600,6,0.08,0.7,0.8,3,0.2,0.6932760440223128,0.013312747484709507
500,3,0.1,0.8,1.0,5,0.0,0.693238353686115,0.016578307633896127
600,5,0.01,0.7,0.9,7,0.1,0.6932383536861147,0.022307107549008446
800,4,0.01,0.8,0.8,3,0.1,0.6932195085180161,0.0233936253499032
400,4,0.01,0.7,0.8,1,0.5,0.6932006633499169,0.02029392744696587
200,4,0.08,0.7,1.0,3,0.5,0.6919757274234887,0.01964448561252646
200,3,0.03,0.7,0.6,3,0.2,0.6919568822553898,0.0199737802163282
500,5,0.03,0.9,0.7,3,0.5,0.6907319463289613,0.028556971863128135
600,5,0.01,0.6,1.0,3,0.1,0.6907319463289613,0.01824388450213226
300,5,0.03,0.9,1.0,5,0.0,0.6906942559927635,0.02598057098238685
500,5,0.01,0.8,0.6,7,0.1,0.6894504748982362,0.022932866170053356
800,4,0.08,0.6,0.6,1,0.0,0.6882820744761043,0.017455519425795013
200,3,0.01,0.9,0.6,3,0.1,0.6882632293080054,0.030783776770425247
200,6,0.03,0.7,1.0,7,0.2,0.6882632293080054,0.02550722566880738
300,4,0.01,1.0,0.6,5,0.0,0.6882255389718076,0.022141011480628008
300,3,0.05,0.8,0.7,5,0.0,0.6882255389718076,0.023364847103823177
600,4,0.01,0.7,0.7,1,0.2,0.6882255389718076,0.020395313227610016
400,6,0.1,0.9,0.8,1,0.5,0.687038293381577,0.024395788888472675
500,6,0.1,0.8,1.0,5,0.0,0.687019448213478,0.018627569299150708
400,4,0.01,0.7,0.6,3,0.0,0.6869817578772803,0.02281772455359372
200,3,0.08,0.8,1.0,7,0.2,0.6869817578772803,0.03421088929664389
500,5,0.03,1.0,0.6,3,0.0,0.6869629127091814,0.02100604031966419
200,6,0.01,0.8,0.8,1,0.1,0.6869440675410825,0.02639271006456811
200,4,0.01,0.8,0.6,7,0.1,0.685719131614654,0.021645716273200877
300,6,0.05,0.7,0.7,7,0.0,0.6845507311925223,0.0072771879983198045
500,3,0.05,0.6,0.9,7,0.5,0.6845507311925222,0.023143439360372504
200,3,0.05,0.7,0.6,5,0.0,0.6845318860244234,0.024173936415231658
200,4,0.03,1.0,1.0,3,0.1,0.6844941956882256,0.024684868402328683
800,3,0.03,1.0,0.8,5,0.0,0.6844941956882256,0.0346898750344261
400,6,0.01,0.9,1.0,1,0.2,0.6844941956882256,0.023131950637750098
600,6,0.03,0.6,0.6,1,0.0,0.6844941956882256,0.013504558436900784
400,3,0.01,0.8,0.7,7,0.2,0.6844941956882254,0.01966153515983312
500,5,0.01,0.8,0.8,1,0.0,0.6844753505201266,0.026748703079311962
400,5,0.1,0.9,0.9,1,0.2,0.6832692597617971,0.016280447500122176
200,4,0.08,0.8,0.6,3,0.5,0.6832692597617971,0.02166231375153451
400,5,0.1,0.7,1.0,3,0.1,0.6832504145936983,0.018762368986707748
200,5,0.08,1.0,1.0,7,0.2,0.6832504145936982,0.018762368986707738
300,4,0.01,0.9,1.0,3,0.5,0.6832504145936982,0.01925072432212918
500,6,0.1,0.8,0.8,1,0.1,0.6832315694255993,0.021833320791485564
200,4,0.08,0.9,0.7,5,0.2,0.6832315694255993,0.022254388190133624
200,4,0.01,0.9,1.0,1,0.2,0.6832315694255993,0.03156711914183418
200,3,0.01,0.8,0.7,7,0.0,0.6820254786672698,0.0302377343428983
400,4,0.01,0.9,0.9,3,0.2,0.6820254786672697,0.019389883112788716
800,6,0.1,1.0,0.8,3,0.1,0.6820066334991708,0.01874862198108627
200,5,0.08,1.0,0.7,1,0.0,0.6819689431629731,0.03589125468662933
300,4,0.01,0.8,0.8,3,0.5,0.681968943162973,0.02838169908085386
300,6,0.08,1.0,0.6,7,0.0,0.6808382330770391,0.016238018675411404
300,4,0.08,0.7,0.6,3,0.2,0.6808193879089401,0.020113339410249866
400,3,0.08,0.9,0.6,7,0.1,0.6807628524046434,0.032739779473299556
300,6,0.1,0.9,0.7,3,0.5,0.6807063169003468,0.023975179551121877
600,3,0.08,0.6,0.6,3,0.1,0.6795944519825118,0.02579850514461452
600,6,0.08,0.9,0.8,5,0.1,0.6795944519825117,0.02354101709988839
500,6,0.05,0.6,0.7,5,0.2,0.6795567616463138,0.02156664618270195
400,3,0.1,1.0,0.7,1,0.0,0.679519071310116,0.024892890633960323
200,5,0.05,0.9,0.6,3,0.5,0.6783129805517865,0.025683053529914106
300,5,0.08,0.6,0.6,1,0.0,0.6782941353836877,0.02029012087607714
600,4,0.05,1.0,0.9,7,0.5,0.6782564450474898,0.02135134259304153
800,5,0.01,1.0,0.7,7,0.5,0.678218754711292,0.021994797882487146
200,5,0.1,0.7,1.0,5,0.1,0.6770691994572591,0.029801880154032144
800,3,0.08,0.6,0.6,1,0.2,0.6770503542891603,0.024932128906289357
800,4,0.1,0.9,0.9,7,0.5,0.6770315091210612,0.02245322498184246
200,4,0.1,0.9,0.6,3,0.2,0.6769938187848635,0.020021623120853746
400,4,0.01,1.0,1.0,5,0.1,0.6769749736167646,0.030575093238569356
600,3,0.01,0.6,0.7,3,0.5,0.6769561284486657,0.029585953636346002
600,5,0.08,1.0,0.7,7,0.0,0.6758631086989296,0.033870927635381666
300,4,0.08,0.9,0.8,7,0.2,0.6757688828584353,0.017232574442904124
400,4,0.1,0.8,0.7,7,0.5,0.6757688828584351,0.02758729862203507
300,5,0.05,0.8,0.6,5,0.0,0.6757311925222372,0.021321648381833383
300,6,0.05,0.8,0.7,7,0.1,0.6745627921001055,0.021800373588631426
300,6,0.03,0.6,0.6,3,0.2,0.6745439469320066,0.018912926580359955
400,4,0.1,0.9,0.7,1,0.0,0.6733190110055781,0.019935845424075293
500,4,0.05,0.7,0.6,5,0.1,0.6733190110055781,0.022964869067890057
800,5,0.03,0.7,1.0,5,0.1,0.6733190110055781,0.025638496247596933
400,4,0.08,0.7,0.7,5,0.5,0.6721317654153477,0.030843708791298156
400,6,0.1,0.6,0.9,3,0.2,0.6707560681441279,0.022531737238219215
500,6,0.08,1.0,0.9,1,0.5,0.6645371626714911,0.018366344591134977
600,3,0.1,0.6,0.9,1,0.0,0.6621249811548319,0.014407633253083325
